datetime,open,high,low,close,volume
2025-09-18T15:35:00-04:00,662.53,662.68,662.23,662.41,1095335
2025-09-18T15:40:00-04:00,662.41,662.62,662.15,662.39,898092
2025-09-18T15:45:00-04:00,662.39,662.45,661.95,662.2,1109447
2025-09-18T15:50:00-04:00,662.19,663.04,662.05,662.94,2439263
2025-09-18T15:55:00-04:00,662.94,662.98,662.22,662.28,4885323
2025-09-19T09:30:00-04:00,662.33,662.37,661.44,661.49,2847721
2025-09-19T09:35:00-04:00,661.5,661.69,661.32,661.68,1366798
2025-09-19T09:40:00-04:00,661.68,662.09,661.46,661.62,1234347
2025-09-19T09:45:00-04:00,661.63,662.54,661.47,662.41,977260
2025-09-19T09:50:00-04:00,662.41,662.7,662.25,662.49,910853
2025-09-19T09:55:00-04:00,662.49,662.57,661.96,662.15,706327
2025-09-19T10:00:00-04:00,662.14,662.26,661.92,662.2,665279
2025-09-19T10:05:00-04:00,662.19,662.4,661.97,662.02,515092
2025-09-19T10:10:00-04:00,662.01,662.32,661.87,662.08,544663
2025-09-19T10:15:00-04:00,662.08,662.13,661.8,661.94,542977
2025-09-19T10:20:00-04:00,661.93,662.16,661.67,662.04,442322
2025-09-19T10:25:00-04:00,662.03,662.16,661.83,661.92,520771
2025-09-19T10:30:00-04:00,661.9,662.19,661.81,662.12,386910
2025-09-19T10:35:00-04:00,662.12,662.21,661.78,661.86,350322
2025-09-19T10:40:00-04:00,661.85,661.87,661.35,661.35,478572
2025-09-19T10:45:00-04:00,661.35,661.45,660.96,661.3,611349
2025-09-19T10:50:00-04:00,661.29,661.95,661.11,661.61,1012898
2025-09-19T10:55:00-04:00,661.6,661.66,661.23,661.59,552303
2025-09-19T11:00:00-04:00,661.59,661.95,661.2,661.23,504064
2025-09-19T11:05:00-04:00,661.21,661.29,661.04,661.14,493318
2025-09-19T11:10:00-04:00,661.14,661.25,660.9,661.02,451573
2025-09-19T11:15:00-04:00,661.01,661.06,660.84,660.99,349689
2025-09-19T11:20:00-04:00,660.99,661.34,660.64,661.12,699901
2025-09-19T11:25:00-04:00,661.11,661.16,660.63,660.76,334313
2025-09-19T11:30:00-04:00,660.74,660.74,660.37,660.66,518187
2025-09-19T11:35:00-04:00,660.65,660.91,660.55,660.74,313660
2025-09-19T11:40:00-04:00,660.75,661.31,660.74,661.09,341685
2025-09-19T11:45:00-04:00,661.08,661.25,660.97,661.17,400334
2025-09-19T11:50:00-04:00,661.17,661.57,661.13,661.55,355670
2025-09-19T11:55:00-04:00,661.55,661.62,661.37,661.6,499875
2025-09-19T12:00:00-04:00,661.59,662.11,661.57,662.02,656605
2025-09-19T12:05:00-04:00,662.01,662.21,661.95,662.03,540442
2025-09-19T12:10:00-04:00,662.04,662.38,662.04,662.25,455229
2025-09-19T12:15:00-04:00,662.25,662.43,662.2,662.4,442706
2025-09-19T12:20:00-04:00,662.4,662.68,662.31,662.51,531893
2025-09-19T12:25:00-04:00,662.51,662.58,662.4,662.49,399317
2025-09-19T12:30:00-04:00,662.48,662.56,662.13,662.24,431681
2025-09-19T12:35:00-04:00,662.25,662.49,662.24,662.31,340339
2025-09-19T12:40:00-04:00,662.31,662.59,662.3,662.58,384936
2025-09-19T12:45:00-04:00,662.58,662.76,662.46,662.57,475270
2025-09-19T12:50:00-04:00,662.57,662.58,662.38,662.47,250707
2025-09-19T12:55:00-04:00,662.47,662.55,662.39,662.53,267490
2025-09-19T13:00:00-04:00,662.54,662.66,662.5,662.52,242906
2025-09-19T13:05:00-04:00,662.52,662.56,662.26,662.3,340944
2025-09-19T13:10:00-04:00,662.32,662.42,662.21,662.42,292075
2025-09-19T13:15:00-04:00,662.41,662.5,662.38,662.41,244350
2025-09-19T13:20:00-04:00,662.41,662.51,662.33,662.46,207822
2025-09-19T13:25:00-04:00,662.47,662.5,662.24,662.48,245251
2025-09-19T13:30:00-04:00,662.48,662.78,662.45,662.65,383474
2025-09-19T13:35:00-04:00,662.64,662.79,662.55,662.7,317273
2025-09-19T13:40:00-04:00,662.71,662.84,662.54,662.74,319415
2025-09-19T13:45:00-04:00,662.74,662.83,662.66,662.77,335384
2025-09-19T13:50:00-04:00,662.77,662.89,662.68,662.73,321695
2025-09-19T13:55:00-04:00,662.73,662.77,662.6,662.69,370539
2025-09-19T14:00:00-04:00,662.69,662.74,662.51,662.72,404002
2025-09-19T14:05:00-04:00,662.74,662.78,662.62,662.7,538574
2025-09-19T14:10:00-04:00,662.69,662.74,662.6,662.71,491778
2025-09-19T14:15:00-04:00,662.72,662.83,662.55,662.61,514455
2025-09-19T14:20:00-04:00,662.61,662.75,662.45,662.45,426549
2025-09-19T14:25:00-04:00,662.44,662.56,662.32,662.53,482267
2025-09-19T14:30:00-04:00,662.52,662.76,662.42,662.68,472088
2025-09-19T14:35:00-04:00,662.68,662.83,662.66,662.74,287917
2025-09-19T14:40:00-04:00,662.74,662.87,662.69,662.8,351177
2025-09-19T14:45:00-04:00,662.8,662.85,662.56,662.63,293395
2025-09-19T14:50:00-04:00,662.63,662.74,662.54,662.67,488793
2025-09-19T14:55:00-04:00,662.67,663.11,662.66,663.09,612616
2025-09-19T15:00:00-04:00,663.09,663.49,663.04,663.12,1057942
2025-09-19T15:05:00-04:00,663.11,663.32,663.08,663.28,620896
2025-09-19T15:10:00-04:00,663.28,663.46,663.24,663.38,592002
2025-09-19T15:15:00-04:00,663.38,663.56,663.37,663.47,885953
2025-09-19T15:20:00-04:00,663.46,663.49,663.34,663.38,589315
2025-09-19T15:25:00-04:00,663.38,664.05,663.38,663.8,1235171
2025-09-19T15:30:00-04:00,663.79,663.86,663.6,663.64,723566
2025-09-19T15:35:00-04:00,663.64,663.7,663.53,663.64,735570
2025-09-19T15:40:00-04:00,663.64,663.65,663.38,663.4,591711
2025-09-19T15:45:00-04:00,663.41,663.91,663.39,663.79,1218128
2025-09-19T15:50:00-04:00,663.8,664.34,663.73,664.34,3845886
2025-09-19T15:55:00-04:00,664.32,664.55,663.51,663.61,4807623
2025-09-22T09:30:00-04:00,662.19,662.8,662.17,662.65,1575938
2025-09-22T09:35:00-04:00,662.65,662.71,662.3,662.41,978108
2025-09-22T09:40:00-04:00,662.39,662.66,662.23,662.62,979831
2025-09-22T09:45:00-04:00,662.61,663.04,662.53,662.89,870992
2025-09-22T09:50:00-04:00,662.88,663.49,662.81,663.46,929442
2025-09-22T09:55:00-04:00,663.45,663.57,663.25,663.42,1057481
2025-09-22T10:00:00-04:00,663.41,663.62,663.17,663.48,854522
2025-09-22T10:05:00-04:00,663.48,663.76,663.42,663.68,603079
2025-09-22T10:10:00-04:00,663.68,663.69,663.28,663.44,688359
2025-09-22T10:15:00-04:00,663.44,663.61,663.36,663.46,512585
2025-09-22T10:20:00-04:00,663.47,663.77,663.46,663.7,556765
2025-09-22T10:25:00-04:00,663.7,664.14,663.58,664.08,771998
2025-09-22T10:30:00-04:00,664.07,664.14,663.89,664.1,471659
2025-09-22T10:35:00-04:00,664.11,664.32,664.08,664.3,441537
2025-09-22T10:40:00-04:00,664.3,664.6,664.29,664.54,747720
2025-09-22T10:45:00-04:00,664.54,664.83,664.49,664.63,777177
2025-09-22T10:50:00-04:00,664.64,665.02,664.64,664.86,765661
2025-09-22T10:55:00-04:00,664.87,665.08,664.84,665.02,445352
2025-09-22T11:00:00-04:00,665.01,665.32,664.9,664.92,770866
2025-09-22T11:05:00-04:00,664.91,665.07,664.8,665.05,456048
2025-09-22T11:10:00-04:00,665.05,665.11,664.74,664.82,629542
2025-09-22T11:15:00-04:00,664.82,664.9,664.69,664.84,367389
2025-09-22T11:20:00-04:00,664.84,665.13,664.8,664.95,483848
2025-09-22T11:25:00-04:00,664.96,665.02,664.82,664.94,317339
2025-09-22T11:30:00-04:00,664.94,665.04,664.65,664.68,514401
2025-09-22T11:35:00-04:00,664.67,664.86,664.57,664.78,566316
2025-09-22T11:40:00-04:00,664.78,664.85,664.64,664.68,303173
2025-09-22T11:45:00-04:00,664.69,664.78,664.57,664.62,284882
2025-09-22T11:50:00-04:00,664.62,664.77,664.52,664.59,267762
2025-09-22T11:55:00-04:00,664.59,664.66,664.48,664.59,313931
2025-09-22T12:00:00-04:00,664.58,664.86,664.56,664.81,568720
2025-09-22T12:05:00-04:00,664.81,665.18,664.65,665.11,616009
2025-09-22T12:10:00-04:00,665.1,665.36,665.04,665.33,835737
2025-09-22T12:15:00-04:00,665.34,665.67,665.24,665.37,1012867
2025-09-22T12:20:00-04:00,665.38,665.65,665.33,665.57,712944
2025-09-22T12:25:00-04:00,665.57,665.93,665.49,665.85,665845
2025-09-22T12:30:00-04:00,665.85,666.03,665.79,666.02,630754
2025-09-22T12:35:00-04:00,666.02,666.19,665.91,666.19,567121
2025-09-22T12:40:00-04:00,666.19,666.22,666.03,666.12,844778
2025-09-22T12:45:00-04:00,666.11,666.27,666.05,666.19,394922
2025-09-22T12:50:00-04:00,666.2,666.43,666.19,666.36,458686
2025-09-22T12:55:00-04:00,666.37,666.5,666.3,666.41,560826
2025-09-22T13:00:00-04:00,666.41,666.53,666.33,666.47,337142
2025-09-22T13:05:00-04:00,666.46,666.46,666.27,666.35,374637
2025-09-22T13:10:00-04:00,666.35,666.41,666.17,666.21,343917
2025-09-22T13:15:00-04:00,666.21,666.42,666.11,666.15,380247
2025-09-22T13:20:00-04:00,666.15,666.48,666.12,666.4,294896
2025-09-22T13:25:00-04:00,666.39,666.53,666.33,666.51,304884
2025-09-22T13:30:00-04:00,666.5,666.69,666.37,666.37,488478
2025-09-22T13:35:00-04:00,666.36,666.6,666.27,666.59,362758
2025-09-22T13:40:00-04:00,666.59,666.71,666.48,666.7,425333
2025-09-22T13:45:00-04:00,666.7,666.78,666.58,666.68,349245
2025-09-22T13:50:00-04:00,666.68,666.68,666.46,666.47,246067
2025-09-22T13:55:00-04:00,666.47,666.52,666.29,666.36,373539
2025-09-22T14:00:00-04:00,666.35,666.45,666.19,666.22,773875
2025-09-22T14:05:00-04:00,666.21,666.3,666.03,666.18,592482
2025-09-22T14:10:00-04:00,666.17,666.43,666.16,666.41,684177
2025-09-22T14:15:00-04:00,666.4,666.62,666.35,666.52,542426
2025-09-22T14:20:00-04:00,666.51,666.58,666.42,666.55,289053
2025-09-22T14:25:00-04:00,666.55,666.62,666.48,666.57,324895
2025-09-22T14:30:00-04:00,666.57,666.66,666.46,666.56,341873
2025-09-22T14:35:00-04:00,666.55,666.79,666.54,666.76,422183
2025-09-22T14:40:00-04:00,666.76,666.8,666.64,666.72,467080
2025-09-22T14:45:00-04:00,666.73,666.77,666.62,666.64,217546
2025-09-22T14:50:00-04:00,666.65,666.77,666.63,666.64,260175
2025-09-22T14:55:00-04:00,666.63,666.82,666.61,666.77,364145
2025-09-22T15:00:00-04:00,666.78,666.89,666.76,666.86,361650
2025-09-22T15:05:00-04:00,666.87,667.0,666.79,666.95,429507
2025-09-22T15:10:00-04:00,666.95,667.18,666.92,667.12,637651
2025-09-22T15:15:00-04:00,667.12,667.24,666.94,667.07,417086
2025-09-22T15:20:00-04:00,667.07,667.12,666.95,667.1,457814
2025-09-22T15:25:00-04:00,667.1,667.23,667.06,667.14,350455
2025-09-22T15:30:00-04:00,667.14,667.25,667.04,667.04,411650
2025-09-22T15:35:00-04:00,667.05,667.05,666.81,667.0,852902
2025-09-22T15:40:00-04:00,666.99,667.07,666.73,666.85,590572
2025-09-22T15:45:00-04:00,666.85,667.13,666.79,667.11,1092660
2025-09-22T15:50:00-04:00,667.11,667.29,666.97,667.07,1680351
2025-09-22T15:55:00-04:00,667.07,667.27,666.71,666.75,3357991
2025-09-23T09:30:00-04:00,666.71,667.18,666.61,667.05,1325522
2025-09-23T09:35:00-04:00,667.05,667.28,666.86,667.08,879526
2025-09-23T09:40:00-04:00,667.09,667.17,666.57,666.9,1200979
2025-09-23T09:45:00-04:00,666.8,667.23,666.73,666.99,954590
2025-09-23T09:50:00-04:00,666.99,667.34,666.84,667.01,950958
2025-09-23T09:55:00-04:00,667.0,667.05,666.73,666.89,703655
2025-09-23T10:00:00-04:00,666.9,667.06,666.46,666.68,859348
2025-09-23T10:05:00-04:00,666.67,667.08,666.64,667.06,763001
2025-09-23T10:10:00-04:00,667.05,667.25,666.87,667.06,702650
2025-09-23T10:15:00-04:00,667.06,667.07,666.74,666.88,572337
2025-09-23T10:20:00-04:00,666.88,666.92,666.43,666.46,639261
2025-09-23T10:25:00-04:00,666.46,666.75,666.36,666.62,682401
2025-09-23T10:30:00-04:00,666.63,666.69,666.31,666.32,552625
2025-09-23T10:35:00-04:00,666.32,666.4,666.17,666.3,589063
2025-09-23T10:40:00-04:00,666.3,666.63,666.27,666.35,560476
2025-09-23T10:45:00-04:00,666.35,666.46,666.15,666.37,440932
2025-09-23T10:50:00-04:00,666.39,666.63,666.31,666.63,354515
2025-09-23T10:55:00-04:00,666.62,666.76,666.31,666.32,330225
2025-09-23T11:00:00-04:00,666.31,666.36,666.1,666.25,464031
2025-09-23T11:05:00-04:00,666.26,666.35,666.02,666.2,372495
2025-09-23T11:10:00-04:00,666.2,666.46,666.13,666.36,398377
2025-09-23T11:15:00-04:00,666.37,666.47,666.17,666.39,299723
2025-09-23T11:20:00-04:00,666.4,666.43,666.19,666.42,239976
2025-09-23T11:25:00-04:00,666.42,666.43,666.06,666.15,337004
2025-09-23T11:30:00-04:00,666.15,666.24,665.96,666.02,357641
2025-09-23T11:35:00-04:00,666.02,666.13,665.91,665.96,349379
2025-09-23T11:40:00-04:00,665.96,665.98,665.55,665.87,518713
2025-09-23T11:45:00-04:00,665.88,665.99,665.77,665.82,446391
2025-09-23T11:50:00-04:00,665.82,665.87,665.64,665.69,347346
2025-09-23T11:55:00-04:00,665.69,665.75,665.49,665.55,322665
2025-09-23T12:00:00-04:00,665.56,665.66,665.45,665.51,392501
2025-09-23T12:05:00-04:00,665.5,665.57,665.11,665.15,473108
2025-09-23T12:10:00-04:00,665.16,665.26,664.97,665.24,728369
2025-09-23T12:15:00-04:00,665.23,665.48,665.09,665.48,642484
2025-09-23T12:20:00-04:00,665.48,665.69,665.43,665.47,587753
2025-09-23T12:25:00-04:00,665.48,665.49,665.17,665.24,414258
2025-09-23T12:30:00-04:00,665.24,665.46,665.07,665.41,325889
2025-09-23T12:35:00-04:00,665.41,665.57,664.88,665.46,1087881
2025-09-23T12:40:00-04:00,665.47,665.52,665.2,665.34,474335
2025-09-23T12:45:00-04:00,665.33,665.83,665.31,665.75,554644
2025-09-23T12:50:00-04:00,665.74,665.84,665.51,665.51,362481
2025-09-23T12:55:00-04:00,665.51,665.51,665.01,665.16,426470
2025-09-23T13:00:00-04:00,665.17,665.25,664.7,664.75,457712
2025-09-23T13:05:00-04:00,664.74,665.13,664.74,665.1,396239
2025-09-23T13:10:00-04:00,665.09,665.09,664.73,664.84,434684
2025-09-23T13:15:00-04:00,664.84,664.85,664.61,664.63,439852
2025-09-23T13:20:00-04:00,664.64,664.87,664.41,664.54,710606
2025-09-23T13:25:00-04:00,664.52,664.59,663.69,663.71,1047244
2025-09-23T13:30:00-04:00,663.7,663.85,663.42,663.49,877959
2025-09-23T13:35:00-04:00,663.49,663.54,662.71,662.76,1499177
2025-09-23T13:40:00-04:00,662.75,662.99,662.03,662.62,2096669
2025-09-23T13:45:00-04:00,662.63,663.42,662.34,663.38,1231620
2025-09-23T13:50:00-04:00,663.37,663.43,662.88,662.92,618135
2025-09-23T13:55:00-04:00,662.92,663.37,662.83,663.23,552737
2025-09-23T14:00:00-04:00,663.24,663.38,662.78,662.83,843517
2025-09-23T14:05:00-04:00,662.84,663.07,662.67,662.86,580304
2025-09-23T14:10:00-04:00,662.85,662.96,662.63,662.67,491165
2025-09-23T14:15:00-04:00,662.66,662.75,662.3,662.37,577247
2025-09-23T14:20:00-04:00,662.37,662.59,662.21,662.36,476989
2025-09-23T14:25:00-04:00,662.36,662.93,662.36,662.68,595866
2025-09-23T14:30:00-04:00,662.65,663.21,662.62,663.17,847142
2025-09-23T14:35:00-04:00,663.17,663.32,662.61,662.65,535265
2025-09-23T14:40:00-04:00,662.66,662.79,662.53,662.63,292149
2025-09-23T14:45:00-04:00,662.63,662.88,662.52,662.55,423908
2025-09-23T14:50:00-04:00,662.55,662.64,662.22,662.39,375886
2025-09-23T14:55:00-04:00,662.39,662.51,661.98,662.11,876630
2025-09-23T15:00:00-04:00,662.1,662.67,662.09,662.25,544585
2025-09-23T15:05:00-04:00,662.24,662.42,662.12,662.23,429003
2025-09-23T15:10:00-04:00,662.23,662.46,662.22,662.32,558818
2025-09-23T15:15:00-04:00,662.33,662.81,662.28,662.77,644977
2025-09-23T15:20:00-04:00,662.78,662.79,662.26,662.45,746596
2025-09-23T15:25:00-04:00,662.46,662.49,662.18,662.37,542545
2025-09-23T15:30:00-04:00,662.37,662.68,662.29,662.68,776348
2025-09-23T15:35:00-04:00,662.68,662.77,662.52,662.74,802158
2025-09-23T15:40:00-04:00,662.73,662.95,662.67,662.91,676574
2025-09-23T15:45:00-04:00,662.91,663.17,662.68,662.93,1350356
2025-09-23T15:50:00-04:00,662.93,663.54,662.83,663.39,2486302
2025-09-23T15:55:00-04:00,663.4,663.42,662.86,663.25,3541867
2025-09-24T09:30:00-04:00,664.5,664.61,663.81,664.13,1740546
2025-09-24T09:35:00-04:00,664.13,664.18,663.54,663.61,1052908
2025-09-24T09:40:00-04:00,663.62,663.88,663.4,663.57,1024108
2025-09-24T09:45:00-04:00,663.58,663.61,662.92,662.94,890413
2025-09-24T09:50:00-04:00,662.95,663.12,662.42,662.71,962284
2025-09-24T09:55:00-04:00,662.74,663.08,662.74,663.04,639865
2025-09-24T10:00:00-04:00,663.05,663.45,662.65,663.38,934735
2025-09-24T10:05:00-04:00,663.4,663.42,662.8,662.98,649881
2025-09-24T10:10:00-04:00,662.96,663.3,662.84,663.26,506306
2025-09-24T10:15:00-04:00,663.25,663.49,663.04,663.39,479196
2025-09-24T10:20:00-04:00,663.38,663.43,663.0,663.1,571806
2025-09-24T10:25:00-04:00,663.09,663.33,662.93,663.21,614459
2025-09-24T10:30:00-04:00,663.19,663.43,662.81,662.92,508424
2025-09-24T10:35:00-04:00,662.91,663.32,662.91,663.23,340446
2025-09-24T10:40:00-04:00,663.23,663.28,662.98,663.26,393897
2025-09-24T10:45:00-04:00,663.26,663.53,663.17,663.41,429710
2025-09-24T10:50:00-04:00,663.43,663.66,663.07,663.12,599220
2025-09-24T10:55:00-04:00,663.11,663.15,662.78,662.93,393323
2025-09-24T11:00:00-04:00,662.92,663.13,662.74,662.82,330499
2025-09-24T11:05:00-04:00,662.81,663.03,662.77,662.83,285816
2025-09-24T11:10:00-04:00,662.82,662.84,662.4,662.43,437130
2025-09-24T11:15:00-04:00,662.41,662.76,662.4,662.68,365218
2025-09-24T11:20:00-04:00,662.67,662.98,662.64,662.89,325147
2025-09-24T11:25:00-04:00,662.89,662.95,662.57,662.66,304678
2025-09-24T11:30:00-04:00,662.65,662.69,662.12,662.17,396752
2025-09-24T11:35:00-04:00,662.18,662.52,662.1,662.3,321913
2025-09-24T11:40:00-04:00,662.29,662.35,662.06,662.14,301328
2025-09-24T11:45:00-04:00,662.15,662.15,661.33,661.36,920005
2025-09-24T11:50:00-04:00,661.36,661.51,660.94,661.22,1099101
2025-09-24T11:55:00-04:00,661.24,661.27,660.26,660.39,1190799
2025-09-24T12:00:00-04:00,660.39,660.68,660.11,660.49,1140642
2025-09-24T12:05:00-04:00,660.48,660.62,659.95,660.05,945618
2025-09-24T12:10:00-04:00,660.05,660.1,659.67,660.01,831174
2025-09-24T12:15:00-04:00,660.0,660.33,659.68,660.27,780962
2025-09-24T12:20:00-04:00,660.26,660.99,660.26,660.96,849533
2025-09-24T12:25:00-04:00,660.95,661.12,660.51,660.91,664575
2025-09-24T12:30:00-04:00,660.92,661.01,660.62,660.7,447496
2025-09-24T12:35:00-04:00,660.69,660.94,660.67,660.92,246155
2025-09-24T12:40:00-04:00,660.91,661.11,660.85,660.94,384671
2025-09-24T12:45:00-04:00,660.97,660.97,660.61,660.74,329083
2025-09-24T12:50:00-04:00,660.74,660.8,660.52,660.63,366251
2025-09-24T12:55:00-04:00,660.62,660.71,660.4,660.52,275622
2025-09-24T13:00:00-04:00,660.55,660.81,660.44,660.77,235805
2025-09-24T13:05:00-04:00,660.75,661.18,660.61,661.17,317988
2025-09-24T13:10:00-04:00,661.16,661.68,661.13,661.24,837375
2025-09-24T13:15:00-04:00,661.23,661.33,661.11,661.12,314445
2025-09-24T13:20:00-04:00,661.12,661.3,660.96,661.25,315716
2025-09-24T13:25:00-04:00,661.25,661.42,661.04,661.37,350873
2025-09-24T13:30:00-04:00,661.38,661.69,661.37,661.66,403386
2025-09-24T13:35:00-04:00,661.65,661.8,661.08,661.11,523097
2025-09-24T13:40:00-04:00,661.1,661.14,660.89,660.9,413218
2025-09-24T13:45:00-04:00,660.89,660.95,660.39,660.53,744869
2025-09-24T13:50:00-04:00,660.52,660.72,660.42,660.71,381815
2025-09-24T13:55:00-04:00,660.71,660.83,660.5,660.57,341681
2025-09-24T14:00:00-04:00,660.56,660.61,660.37,660.45,555962
2025-09-24T14:05:00-04:00,660.45,660.59,660.28,660.35,721658
2025-09-24T14:10:00-04:00,660.35,660.46,659.96,660.44,658809
2025-09-24T14:15:00-04:00,660.44,660.68,660.4,660.67,327374
2025-09-24T14:20:00-04:00,660.66,660.66,660.21,660.35,406087
2025-09-24T14:25:00-04:00,660.36,660.45,660.18,660.38,311403
2025-09-24T14:30:00-04:00,660.39,660.64,660.26,660.46,550061
2025-09-24T14:35:00-04:00,660.45,660.89,660.43,660.76,462438
2025-09-24T14:40:00-04:00,660.76,660.87,660.62,660.75,336282
2025-09-24T14:45:00-04:00,660.75,660.92,660.46,660.61,412948
2025-09-24T14:50:00-04:00,660.6,661.12,660.55,661.02,486727
2025-09-24T14:55:00-04:00,661.02,661.15,660.94,661.11,435017
2025-09-24T15:00:00-04:00,661.11,661.12,660.64,660.72,434637
2025-09-24T15:05:00-04:00,660.72,660.86,660.61,660.66,288172
2025-09-24T15:10:00-04:00,660.65,660.9,660.62,660.65,348557
2025-09-24T15:15:00-04:00,660.65,660.9,660.57,660.83,426427
2025-09-24T15:20:00-04:00,660.83,660.87,660.67,660.73,312855
2025-09-24T15:25:00-04:00,660.73,660.8,660.62,660.8,442052
2025-09-24T15:30:00-04:00,660.81,660.99,660.74,660.98,505299
2025-09-24T15:35:00-04:00,660.98,660.99,660.59,660.8,688002
